Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.93,0.931020964360587,0.93,0.9296282982517527
Decision Tree,0.91,0.909925451321728,0.91,0.9094329595045566
Random Forest,0.865,0.8653664753021064,0.865,0.863767328856604
KNN,0.675,0.6887343722150078,0.675,0.6715734265734267
SVM,0.915,0.9179172873220787,0.915,0.9141945159941
Naive Bayes,0.38,0.5576962328309615,0.38,0.3424996626825015
Gradient Boosting,0.95,0.9504637254901962,0.95,0.9499928874520106
AdaBoost,0.785,0.834002938801429,0.785,0.7806354206581889
Extra Trees,0.83,0.830420202020202,0.83,0.8294122603749737
